"h [mm]","w [mm]","Freq [GHz]","re(Zo(Port_In)) []","im(Zo(Port_In)) []","dB(S(Port_In,Port_In)) []","dB(S(Port_Out,Port_In)) []"
0.05,0.03,10.386,55.1224469908718,-0.797940546580703,-26.4021303068304,-0.290461206819204
0.05,0.03,10.424,55.1218842471774,-0.794802361543432,-26.3908065924203,-0.291193432823352
0.05,0.03,10.462,55.1213251550727,-0.791686038627759,-26.3796899576513,-0.291926116146079
0.05,0.03,10.5,55.1207696633499,-0.788591350603807,-26.3687797770807,-0.292659244858508
0.05,0.03,10.538,55.1202177216098,-0.785518073410633,-26.3580754363013,-0.293392807110762
0.05,0.03,10.576,55.1196692802469,-0.782465986101621,-26.347576331834,-0.294126791133741
0.05,0.03,10.614,55.1191242904353,-0.779434870791207,-26.3372818710234,-0.294861185240929
0.05,0.03,10.652,55.118582704114,-0.776424512602617,-26.3271914719352,-0.295595977830142
0.05,0.03,10.69,55.1180444739736,-0.773434699616698,-26.3173045632568,-0.296331157385269
0.05,0.03,10.728,55.1175095534424,-0.770465222821558,-26.3076205841998,-0.297066712478039
0.05,0.03,10.766,55.1169778966735,-0.767515876063684,-26.2981389844055,-0.297802631769718
0.05,0.03,10.804,55.1164494585313,-0.764586455999579,-26.2888592238522,-0.298538904012854
0.05,0.03,10.842,55.1159241945793,-0.761676762048591,-26.2797807727653,-0.299275518052955
0.05,0.03,10.88,55.1154020610672,-0.758786596346609,-26.270903111529,-0.300012462830204
0.05,0.03,10.918,55.1148830149189,-0.755915763700818,-26.2622257306011,-0.30074972738112
0.05,0.03,10.956,55.1143670137207,-0.75306407154513,-26.2537481304293,-0.301487300840236
0.05,0.03,10.994,55.1138540157091,-0.750231329896688,-26.2454698213701,-0.302225172441763
0.05,0.03,11.032,55.1133439797598,-0.747417351313063,-26.2373903236094,-0.302963331521233
0.05,0.03,11.07,55.1128368653763,-0.744621950850546,-26.2295091670856,-0.303701767517131
0.05,0.03,11.108,55.1123326326786,-0.741844946022742,-26.2218258914144,-0.304440469972528
0.05,0.03,11.146,55.1118312423929,-0.739086156760679,-26.2143400458158,-0.305179428536692
0.05,0.03,11.184,55.1113326558406,-0.736345405373184,-26.2070511890431,-0.305918632966705
0.05,0.03,11.222,55.1108368349282,-0.733622516508111,-26.1999588893135,-0.306658073129049
0.05,0.03,11.26,55.1103437421369,-0.730917317114413,-26.1930627242413,-0.307397739001182
0.05,0.03,11.298,55.1098533405129,-0.728229636404934,-26.186362280772,-0.308137620673137
0.05,0.03,11.336,55.1093655936574,-0.725559305819893,-26.1798571551191,-0.308877708349073
0.05,0.03,11.374,55.1088804657171,-0.722906158990967,-26.1735469527025,-0.309617992348835
0.05,0.03,11.412,55.1083979213751,-0.720270031706259,-26.167431288088,-0.310358463109494
0.05,0.03,11.45,55.1079179258411,-0.717650761875808,-26.1615097849298,-0.3110991111869
0.05,0.03,11.488,55.1074404448431,-0.715048189497693,-26.1557820759135,-0.311839927257196
0.05,0.03,11.526,55.106965444618,-0.712462156624973,-26.1502478027018,-0.312580902118341
0.05,0.03,11.564,55.1064928919031,-0.709892507332976,-26.1449066158809,-0.313322026691617
0.05,0.03,11.602,55.1060227539279,-0.707339087687546,-26.1397581749094,-0.314063292023145
0.05,0.03,11.64,55.1055549984054,-0.704801745713526,-26.1348021480684,-0.314804689285345
0.05,0.03,11.678,55.1050895935239,-0.70228033136413,-26.1300382124131,-0.315546209778452
0.05,0.03,11.716,55.1046265079393,-0.699774696490667,-26.1254660537265,-0.316287844931969
0.05,0.03,11.754,55.1041657107673,-0.697284694812953,-26.1210853664737,-0.317029586306136
0.05,0.03,11.792,55.1037071715751,-0.694810181890224,-26.1168958537589,-0.317771425593398
0.05,0.03,11.83,55.1032508603746,-0.69235101509261,-26.1128972272831,-0.318513354619833
0.05,0.03,11.868,55.1027967476143,-0.689907053573119,-26.1090892073031,-0.3192553653466
0.05,0.03,11.906,55.1023448041727,-0.687478158240093,-26.1054715225931,-0.319997449871373
0.05,0.03,11.944,55.1018950013507,-0.685064191730257,-26.1020439104065,-0.320739600429756
0.05,0.03,11.982,55.1014473108646,-0.682665018382244,-26.0988061164394,-0.321481809396709
0.05,0.03,12.02,55.1010017048396,-0.680280504210395,-26.0957578947965,-0.322224069287932
